Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Club,Attendance percentage,Temperature,Wind,Win streak,Not lose streak,Last 5 games goals for,Last 5 games goals against
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Home,D,1,1,Gillingham,55,2555,Michael Bostwick,4-2-3-1,Carl Boyeson,Match Report,,Burton Albion,0.36964699074074076,17.3,11.9,0,2,4,5
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Away,L,0,2,Crewe Alexandra,53,4482,John Brayford,4-2-3-1,Ross Joyce,Match Report,,Burton Albion,0.6484375,17.9,5.1,0,3,3,5
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Home,L,1,2,Lincoln City,54,3359,John Brayford,4-2-3-1,Craig Hicks,Match Report,,Burton Albion,0.4859664351851852,18.3,4.9,0,0,2,7
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Home,W,2,1,Portsmouth,32,2810,John Brayford,4-2-3-1,Tom Nield,Match Report,,Burton Albion,0.40653935185185186,11.6,9.5,0,0,3,6
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Away,D,1,1,AFC Wimbledon,41,7413,John Brayford,4-2-3-1,Lee Swabey,Match Report,,Burton Albion,1.0724826388888888,10.5,9.5,1,1,4,6
2021-10-09,15:00 (16:00),League One,Matchweek 12,Sat,Away,L,1,2,Plymouth Argyle,41,11915,Deji Oshilaja,4-2-3-1,Anthony Coggins,Match Report,,Burton Albion,1.7238136574074074,15.1,3.8,0,2,5,7
2021-10-15,19:45 (20:45),League One,Matchweek 13,Fri,Home,W,3,2,Morecambe,42,2477,Deji Oshilaja,4-2-3-1,Martin Coy,Match Report,,Burton Albion,0.35836226851851855,10.4,7.3,0,0,5,8
2021-10-19,19:45 (20:45),League One,Matchweek 14,Tue,Away,W,1,0,Fleetwood Town,37,2226,Deji Oshilaja,3-4-1-2,Simon Mather,Match Report,,Burton Albion,0.3220486111111111,16.9,12.2,1,1,8,8
2021-10-23,15:00 (16:00),League One,Matchweek 15,Sat,Home,L,1,3,Oxford United,40,3391,Deji Oshilaja,3-4-1-2,Samuel Barrott,Match Report,,Burton Albion,0.4905960648148148,10.7,9.5,2,2,8,6
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Away,L,0,2,Wigan Athletic,28,9020,Deji Oshilaja,3-5-2,Carl Brook,Match Report,,Burton Albion,1.3049768518518519,10.6,11.6,0,0,7,8
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Away,W,2,1,Fleetwood Town,41,1362,Deji Oshilaja,3-4-1-2,Tom Reeves,Match Report,,Burton Albion,0.1970486111111111,11.2,16.4,0,0,6,9
2021-11-13,15:00 (16:00),League One,Matchweek 17,Sat,Home,L,0,1,Charlton Ath,56,3555,Deji Oshilaja,3-4-1-2,Trevor Kettle,Match Report,,Burton Albion,0.5143229166666666,10.7,10.0,1,1,7,8
2021-11-20,15:00 (16:00),League One,Matchweek 18,Sat,Away,L,0,1,MK Dons,55,9770,Michael Bostwick,3-4-1-2,Neil Hair,Match Report,,Burton Albion,1.4134837962962963,10.4,13.5,0,0,4,7
2021-11-23,19:45 (20:45),League One,Matchweek 19,Tue,Home,W,4,0,Acc'ton Stanley,59,1946,Ben Garratt,3-4-3,Darren Drysdale,Match Report,,Burton Albion,0.28153935185185186,6.7,6.3,0,0,3,8
2021-11-27,15:00 (16:00),League One,Matchweek 20,Sat,Home,W,2,0,Doncaster,60,2954,Ben Garratt,3-4-3,Peter Wright,Match Report,,Burton Albion,0.4273726851851852,3.1,31.2,1,1,6,5
2021-12-04,15:00 (16:00),FA Cup,Second round proper,Sat,Home,L,1,2,Port Vale,54,3539,Ben Garratt,3-4-3,Martin Coy,Match Report,,Burton Albion,0.5120081018518519,5.9,24.6,2,2,8,3
2021-12-07,19:45 (20:45),League One,Matchweek 21,Tue,Away,L,1,2,Wycombe,50,3602,Ben Garratt,3-4-3,Joshua Smith,Match Report,,Burton Albion,0.5211226851851852,5.1,16.2,0,0,7,4
2021-12-11,15:00 (16:00),League One,Matchweek 22,Sat,Away,L,1,3,Rotherham Utd,52,9007,Ben Garratt,3-4-3,Samuel Allison,Match Report,,Burton Albion,1.3030960648148149,6.2,8.8,0,0,8,5
2022-01-01,15:00 (16:00),League One,Matchweek 26,Sat,Home,W,4,1,Crewe Alexandra,37,3119,John Brayford,3-4-3,Peter Wright,Match Report,,Burton Albion,0.45124421296296297,13.1,14.5,0,0,9,7
2022-01-08,15:00 (16:00),League One,Matchweek 27,Sat,Away,D,1,1,Cheltenham,49,3201,John Brayford,3-4-3,David Rock,Match Report,,Burton Albion,0.4631076388888889,5.7,14.7,1,1,9,8
2022-01-15,15:00 (16:00),League One,Matchweek 28,Sat,Away,W,3,1,Gillingham,48,4198,John Brayford,3-4-1-2,Thomas Bramall,Match Report,,Burton Albion,0.6073495370370371,2.6,5.5,0,2,8,9
2022-01-22,15:00 (16:00),League One,Matchweek 29,Sat,Home,D,1,1,AFC Wimbledon,61,2768,John Brayford,3-4-1-2,Andrew Kitchen,Match Report,,Burton Albion,0.40046296296296297,6.4,8.3,1,3,10,8
2022-01-25,19:45 (20:45),League One,Matchweek 23,Tue,Home,L,0,1,MK Dons,35,2171,John Brayford,3-4-1-2,Darren Handley,Match Report,,Burton Albion,0.3140914351851852,2.1,4.5,0,4,10,7
2022-01-29,15:00 (16:00),League One,Matchweek 30,Sat,Away,W,2,1,Lincoln City,40,9159,John Brayford,3-4-1-2,Charles Breakspear,Match Report,,Burton Albion,1.3250868055555556,9.9,24.4,0,0,9,5
2022-02-05,15:00 (16:00),League One,Matchweek 31,Sat,Home,L,0,2,Sheffield Weds,50,4763,John Brayford,3-4-3,Alan Young,Match Report,,Burton Albion,0.6890914351851852,6.2,21.1,1,1,7,5
2022-02-08,19:45 (20:45),League One,Matchweek 32,Tue,Away,L,1,2,Portsmouth,52,13407,Michael Mancienne,3-4-3,Craig Hicks,Match Report,,Burton Albion,1.9396701388888888,11.2,24.5,0,0,6,6
2022-02-12,15:00 (16:00),League One,Matchweek 33,Sat,Home,D,2,2,Cambridge Utd,50,2578,John Brayford,3-4-1-2,Marc Edwards,Match Report,,Burton Albion,0.37297453703703703,6.4,16.3,0,0,4,7
2022-02-15,19:45 (20:45),League One,Matchweek 25,Tue,Home,W,3,1,Bolton,40,3487,John Brayford,3-4-1-2,Scott Oldham,Match Report,,Burton Albion,0.5044849537037037,6.5,15.3,0,1,5,8
2022-02-19,15:00 (16:00),League One,Matchweek 34,Sat,Away,L,0,3,Ipswich Town,43,20516,John Brayford,3-4-1-2,Carl Brook,Match Report,,Burton Albion,2.9681712962962963,3.1,14.6,1,2,8,8
2022-02-22,19:45 (20:45),League One,Matchweek 35,Tue,Away,D,1,1,Sunderland,34,30237,John Brayford,4-5-1,Oliver Yates,Match Report,,Burton Albion,4.374565972222222,7.9,19.6,0,0,6,10
2022-02-26,15:00 (16:00),League One,Matchweek 36,Sat,Home,L,0,2,Shrewsbury,62,3258,John Brayford,3-5-2,Ben Speedie,Match Report,,Burton Albion,0.4713541666666667,6.6,11.1,0,1,7,9
2022-03-01,19:45 (20:45),League One,Matchweek 24,Tue,Away,L,2,5,Sheffield Weds,42,20309,John Brayford,3-4-1-2,Samuel Barrott,Match Report,,Burton Albion,2.9382233796296298,6.1,10.4,0,0,6,9
2022-03-05,15:00 (16:00),League One,Matchweek 37,Sat,Away,L,1,4,Oxford United,41,7631,John Brayford,3-4-3,Sam Purkiss,Match Report,,Burton Albion,1.1040219907407407,5.4,15.9,0,0,6,12
2022-03-12,15:00 (16:00),League One,Matchweek 38,Sat,Home,W,3,2,Fleetwood Town,51,2648,John Brayford,4-2-3-1,Oliver Langford,Match Report,,Burton Albion,0.38310185185185186,9.5,14.2,0,0,4,15
2022-03-19,15:00 (16:00),League One,Matchweek 39,Sat,Away,L,0,2,Charlton Ath,54,11348,John Brayford,4-2-3-1,Rebecca Welch,Match Report,,Burton Albion,1.6417824074074074,10.1,12.8,1,1,7,14
2022-04-02,15:00 (16:00),League One,Matchweek 41,Sat,Away,L,0,3,Morecambe,41,5238,John Brayford,4-2-3-1,Ross Joyce,Match Report,,Burton Albion,0.7578125,4.1,5.3,0,0,6,15
2022-04-09,15:00 (16:00),League One,Matchweek 42,Sat,Home,D,0,0,Plymouth Argyle,48,3938,John Brayford,3-4-1-2,Leigh Doughty,Match Report,,Burton Albion,0.5697337962962963,4.9,12.9,0,0,6,16
2022-04-12,19:45 (20:45),League One,Matchweek 40,Tue,Home,D,0,0,Wigan Athletic,48,3589,John Brayford,3-4-1-2,Andy Haines,Match Report,,Burton Albion,0.5192418981481481,11.4,8.0,0,1,4,11
2022-04-15,15:00 (16:00),League One,Matchweek 43,Fri,Away,D,0,0,Acc'ton Stanley,42,2513,John Brayford,3-4-1-2,Oliver Yates,Match Report,,Burton Albion,0.36357060185185186,14.1,6.2,0,2,3,7
2022-04-19,19:45 (20:45),League One,Matchweek 44,Tue,Home,W,2,0,Rotherham Utd,42,3537,John Brayford,3-4-1-2,Tom Reeves,Match Report,,Burton Albion,0.51171875,9.7,6.3,0,3,0,5
2022-04-23,15:00 (16:00),League One,Matchweek 45,Sat,Away,L,0,2,Doncaster,54,6034,John Brayford,3-4-1-2,Will Finnie,Match Report,,Burton Albion,0.8729745370370371,10.9,24.1,1,4,2,3
2022-04-30,12:30 (13:30),League One,Matchweek 46,Sat,Home,L,1,2,Wycombe,52,4440,John Brayford,4-2-3-1,Robert Madley,Match Report,,Burton Albion,0.6423611111111112,10.1,7.9,0,0,2,2
2021-08-07,15:00 (16:00),League One,Matchweek 1,Sat,Home,D,1,1,Cheltenham,57,5301,Luke Murphy,4-3-3,Ben Toner,Match Report,,Crewe Alexandra,0.5221116911257756,15.2,11.8,0,0,0,0
2021-08-10,19:00 (20:00),EFL Cup,First round,Tue,Away,W,1,0,Hartlepool Utd,35,3149,Luke Offord,4-3-3,Thomas Bramall,Match Report,,Crewe Alexandra,0.3101546340982961,16.9,11.2,0,0,1,1
2021-08-14,15:00 (16:00),League One,Matchweek 2,Sat,Away,L,0,2,Portsmouth,40,11470,Luke Murphy,4-3-3,Will Finnie,Match Report,,Crewe Alexandra,1.1297153550674677,15.8,9.0,1,1,2,1
2021-08-17,19:45 (20:45),League One,Matchweek 3,Tue,Away,L,0,1,Oxford United,51,6757,Luke Murphy,4-3-3,Robert Madley,Match Report,,Crewe Alexandra,0.6655175810105387,15.3,16.5,0,0,2,3
2021-08-21,15:00 (16:00),League One,Matchweek 4,Sat,Home,L,0,1,Acc'ton Stanley,53,4187,Luke Murphy,4-3-3,Darren Drysdale,Match Report,,Crewe Alexandra,0.4123904264749335,17.0,4.3,0,0,2,4
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Away,L,0,3,Leeds United,27,34154,Luke Murphy,4-3-3,Ben Speedie,Match Report,,Crewe Alexandra,3.363931842805082,17.4,6.3,0,0,2,5
2021-08-28,15:00 (16:00),League One,Matchweek 5,Sat,Away,L,0,2,Charlton Ath,49,13167,Luke Murphy,4-3-3,James Bell,Match Report,,Crewe Alexandra,1.2968580715059588,15.4,6.5,0,0,1,7
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Away,D,1,1,Shrewsbury,56,5867,Luke Murphy,3-4-3,Samuel Barrott,Match Report,,Crewe Alexandra,0.5778587609573526,17.3,11.9,0,0,0,9
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Home,W,2,0,Burton Albion,47,4482,Luke Murphy,4-3-3,Ross Joyce,Match Report,,Crewe Alexandra,0.4414458780655964,17.9,5.1,0,1,1,8
2021-09-21,19:45 (20:45),League One,Matchweek 6,Tue,Home,L,1,3,Morecambe,63,3542,Donervon Daniels,4-3-3,Paul Howard,Match Report,,Crewe Alexandra,0.3488624052004334,14.9,6.7,1,2,3,7
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Away,D,1,1,Rotherham Utd,49,8747,Luke Murphy,3-4-3,Samuel Allison,Match Report,,Crewe Alexandra,0.8615187629272136,18.3,4.9,0,0,4,9
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Away,D,1,1,Plymouth Argyle,43,11138,Luke Murphy,5-4-1,Neil Hair,Match Report,,Crewe Alexandra,1.097015660395942,11.6,9.5,0,1,5,7
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Home,D,2,2,Cambridge Utd,50,4237,Luke Murphy,4-3-3,Tom Reeves,Match Report,,Crewe Alexandra,0.41731507928691025,10.5,9.5,0,2,6,6
2021-10-16,15:00 (16:00),League One,Matchweek 13,Sat,Away,L,0,3,Fleetwood Town,47,2917,Luke Murphy,4-3-3,Marc Edwards,Match Report,,Crewe Alexandra,0.28730424505072394,10.6,5.1,0,3,7,7
2021-10-19,19:45 (20:45),League One,Matchweek 14,Tue,Home,L,0,4,Sunderland,53,5618,Luke Murphy,3-5-2,Carl Boyeson,Match Report,,Crewe Alexandra,0.5533339899537083,16.9,12.2,0,0,5,10
2021-10-23,15:00 (16:00),League One,Matchweek 15,Sat,Away,L,1,2,Wycombe,53,4813,Luke Murphy,5-3-2,Steve Martin,Match Report,,Crewe Alexandra,0.4740470796808825,10.7,9.5,0,0,4,11
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Home,L,1,4,MK Dons,56,4512,Luke Murphy,4-3-3,Andy Haines,Match Report,,Crewe Alexandra,0.4444006697527824,10.6,11.6,0,0,4,12
2021-11-02,19:45 (20:45),League One,Matchweek 12,Tue,Home,D,1,1,Doncaster,60,3392,Luke Murphy,4-3-3,Simon Mather,Match Report,,Crewe Alexandra,0.3340884467645031,7.3,7.2,0,0,4,15
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Home,L,0,3,Swindon Town,41,2303,Luke Murphy,3-5-2,Trevor Kettle,Match Report,,Crewe Alexandra,0.22682950851964936,11.2,16.4,0,1,3,14
2021-11-12,20:00 (21:00),League One,Matchweek 17,Fri,Away,L,0,2,Bolton,43,13804,Mikael Mandron,5-3-2,James Bell,Match Report,,Crewe Alexandra,1.3595981483305426,11.8,18.0,0,0,3,14
2021-11-20,15:00 (16:00),League One,Matchweek 18,Sat,Home,W,2,0,Gillingham,61,4047,Luke Murphy,5-3-2,Anthony Backhouse,Match Report,,Crewe Alexandra,0.3986013986013986,10.4,13.5,0,0,3,12
2021-11-23,19:45 (20:45),League One,Matchweek 19,Tue,Away,L,2,3,AFC Wimbledon,50,6943,Luke Murphy,5-3-2,Craig Hicks,Match Report,,Crewe Alexandra,0.6838372894710922,6.7,6.3,1,1,4,10
2021-11-28,15:00 (16:00),League One,Matchweek 20,Sun,Away,L,1,2,Ipswich Town,50,18883,Chris Porter,5-3-2,James Oldham,Match Report,,Crewe Alexandra,1.8598443809711416,-0.4,5.9,0,0,5,9
2021-12-07,19:45 (20:45),League One,Matchweek 21,Tue,Home,W,2,0,Lincoln City,53,3285,Mikael Mandron,5-3-2,Declan Bourne,Match Report,,Crewe Alexandra,0.32354968974687287,5.1,16.2,0,0,5,10
2021-12-11,15:00 (16:00),League One,Matchweek 22,Sat,Home,L,0,2,Sheffield Weds,55,6325,Chris Porter,5-3-2,Lee Swabey,Match Report,,Crewe Alexandra,0.6229685807150596,6.2,8.8,1,1,7,7
2021-12-29,19:45 (20:45),League One,Matchweek 25,Wed,Away,W,2,1,Morecambe,57,3831,Luke Murphy,5-3-2,Seb Stockbridge,Match Report,,Crewe Alexandra,0.377326898453659,9.1,10.9,0,0,7,7
2022-01-01,15:00 (16:00),League One,Matchweek 26,Sat,Away,L,1,4,Burton Albion,63,3119,Luke Murphy,5-3-2,Peter Wright,Match Report,,Crewe Alexandra,0.30719984241111004,13.1,14.5,1,1,7,8
2022-01-12,19:45 (20:45),League One,Matchweek 27,Wed,Home,W,2,1,Charlton Ath,46,3556,Mikael Mandron,5-3-2,Rob Lewis,Match Report,,Crewe Alexandra,0.35024130798778685,3.2,4.6,0,0,6,9
2022-01-15,15:00 (16:00),League One,Matchweek 28,Sat,Home,D,0,0,Shrewsbury,56,5587,Luke Murphy,5-3-2,Gavin Ward,Match Report,,Crewe Alexandra,0.5502807052102827,2.6,5.5,1,1,7,8
2022-01-22,15:00 (16:00),League One,Matchweek 29,Sat,Away,L,0,1,Cambridge Utd,58,5428,Chris Porter,,Samuel Allison,Match Report,,Crewe Alexandra,0.5346203092681966,6.4,8.3,0,2,5,8
2022-01-29,15:00 (16:00),League One,Matchweek 30,Sat,Home,L,0,2,Rotherham Utd,53,5014,Luke Murphy,5-3-2,Ben Speedie,Match Report,,Crewe Alexandra,0.49384418398502905,9.9,24.4,0,0,5,7
2022-02-01,19:45 (20:45),League One,Matchweek 23,Tue,Away,L,0,1,Gillingham,68,4917,Luke Murphy,4-3-3,Darren Drysdale,Match Report,,Crewe Alexandra,0.48429035752979416,9.9,30.0,0,0,3,8
2022-02-08,19:45 (20:45),League One,Matchweek 32,Tue,Home,L,1,4,Plymouth Argyle,54,3874,Luke Murphy,4-3-3,John Busby,Match Report,,Crewe Alexandra,0.38156209987195905,11.2,24.5,0,0,2,5
2022-02-12,15:00 (16:00),League One,Matchweek 33,Sat,Away,L,1,4,Acc'ton Stanley,52,2365,Chris Porter,5-3-2,Samuel Barrott,Match Report,,Crewe Alexandra,0.23293607800650054,6.4,16.3,0,0,1,8
2022-02-15,19:45 (20:45),League One,Matchweek 31,Tue,Away,L,0,2,Wigan Athletic,45,8509,Luke Murphy,4-3-3,Tom Reeves,Match Report,,Crewe Alexandra,0.8380774155422043,6.5,15.3,0,0,2,12
2022-02-22,19:45 (20:45),League One,Matchweek 35,Tue,Home,L,0,1,Oxford United,52,3968,Luke Offord,4-3-3,Scott Oldham,Match Report,,Crewe Alexandra,0.3908204471584753,7.9,19.6,0,0,2,13
2022-02-26,15:00 (16:00),League One,Matchweek 36,Sat,Away,W,2,1,Cheltenham,52,4227,Luke Offord,3-5-2,Anthony Backhouse,Match Report,,Crewe Alexandra,0.4163301487245149,6.6,11.1,0,0,2,12
2022-03-05,15:00 (16:00),League One,Matchweek 37,Sat,Home,L,1,3,Wycombe,61,4031,Luke Offord,3-5-2,Andy Haines,Match Report,,Crewe Alexandra,0.397025509701566,5.4,15.9,1,1,4,12
2022-03-08,19:45 (20:45),League One,Matchweek 34,Tue,Home,L,1,3,Portsmouth,65,4307,Luke Murphy,3-5-2,Andrew Kitchen,Match Report,,Crewe Alexandra,0.42420959322367774,6.6,12.4,0,0,4,11
2022-03-12,15:00 (16:00),League One,Matchweek 38,Sat,Away,L,0,2,Sunderland,31,30036,Luke Offord,3-5-2,Neil Hair,Match Report,,Crewe Alexandra,2.9583374372106768,9.5,14.2,0,0,4,10
2022-03-15,19:45 (20:45),League One,Matchweek 24,Tue,Home,L,0,2,Wigan Athletic,49,5310,Luke Offord,3-5-2,Ben Toner,Match Report,,Crewe Alexandra,0.5229981286319314,8.4,7.0,0,0,4,10
2022-03-19,15:00 (16:00),League One,Matchweek 39,Sat,Home,L,0,1,Bolton,49,5985,Luke Offord,3-5-2,Sam Purkiss,Match Report,,Crewe Alexandra,0.5894809415936176,10.1,12.8,0,0,4,11
2022-04-02,15:00 (16:00),League One,Matchweek 41,Sat,Home,L,1,3,Fleetwood Town,61,3813,Luke Murphy,3-5-2,Will Finnie,Match Report,,Crewe Alexandra,0.37555402344134736,4.1,5.3,0,0,2,11
2022-04-05,19:45 (20:45),League One,Matchweek 40,Tue,Away,L,1,2,MK Dons,42,7315,Luke Murphy,3-4-3,Ross Joyce,Match Report,,Crewe Alexandra,0.7204767063921993,10.6,27.4,0,0,2,11
2022-04-09,15:00 (16:00),League One,Matchweek 42,Sat,Away,L,0,2,Doncaster,51,5912,Luke Offord,3-4-3,Declan Bourne,Match Report,,Crewe Alexandra,0.5822909484881316,4.9,12.9,0,0,2,10
2022-04-15,15:00 (16:00),League One,Matchweek 43,Fri,Home,W,3,1,AFC Wimbledon,60,4668,Luke Offord,4-2-3-1,David Webb,Match Report,,Crewe Alexandra,0.4597655865261499,14.1,6.2,0,0,2,10
2022-04-19,19:45 (20:45),League One,Matchweek 44,Tue,Away,L,0,1,Sheffield Weds,39,22566,Luke Offord,4-2-3-1,Charles Breakspear,Match Report,,Crewe Alexandra,2.222594307101349,9.7,6.3,1,1,5,9
2022-04-23,15:00 (16:00),League One,Matchweek 45,Sat,Home,D,1,1,Ipswich Town,41,4986,Luke Murphy,4-2-3-1,Simon Mather,Match Report,,Crewe Alexandra,0.4910863784103221,10.9,24.1,0,0,5,9
2022-04-30,12:30 (13:30),League One,Matchweek 46,Sat,Away,L,1,2,Lincoln City,47,9147,Luke Offord,4-2-3-1,Andrew Kitchen,Match Report,,Crewe Alexandra,0.9009159854230276,10.1,7.9,0,1,5,7
